Astralis,Denmark,#1,https://static.hltv.org/images/bigflags/30x20/DK.gif,https://static.hltv.org/images/team/logo/6665
Liquid,United States,#2,https://static.hltv.org/images/bigflags/30x20/US.gif,https://static.hltv.org/images/team/logo/5973
ENCE,Finland,#3,https://static.hltv.org/images/bigflags/30x20/FI.gif,https://static.hltv.org/images/team/logo/4869
Natus Vincere,Ukraine,#4,https://static.hltv.org/images/bigflags/30x20/UA.gif,https://static.hltv.org/images/team/logo/4608
FaZe,Europe,#5,https://static.hltv.org/images/bigflags/30x20/EU.gif,https://static.hltv.org/images/team/logo/6667
NiP,Sweden,#6,https://static.hltv.org/images/bigflags/30x20/SE.gif,https://static.hltv.org/images/team/logo/4411
Renegades,Australia,#7,https://static.hltv.org/images/bigflags/30x20/AU.gif,https://static.hltv.org/images/team/logo/6211
MIBR,Brazil,#8,https://static.hltv.org/images/bigflags/30x20/BR.gif,https://static.hltv.org/images/team/logo/9215
Vitality,France,#9,https://static.hltv.org/images/bigflags/30x20/FR.gif,https://static.hltv.org/images/team/logo/9565
North,Denmark,#10,https://static.hltv.org/images/bigflags/30x20/DK.gif,https://static.hltv.org/images/team/logo/7533
NRG,United States,#11,https://static.hltv.org/images/bigflags/30x20/US.gif,https://static.hltv.org/images/team/logo/6673
fnatic,Sweden,#12,https://static.hltv.org/images/bigflags/30x20/SE.gif,https://static.hltv.org/images/team/logo/4991
G2,France,#13,https://static.hltv.org/images/bigflags/30x20/FR.gif,https://static.hltv.org/images/team/logo/5995
AVANGAR,Kazakhstan,#14,https://static.hltv.org/images/bigflags/30x20/KZ.gif,https://static.hltv.org/images/team/logo/8120
Windigo,Bulgaria,#15,https://static.hltv.org/images/bigflags/30x20/BG.gif,https://static.hltv.org/images/team/logo/8513
Ghost,United States,#16,https://static.hltv.org/images/bigflags/30x20/US.gif,https://static.hltv.org/images/team/logo/7801
Valiance,Serbia,#17,https://static.hltv.org/images/bigflags/30x20/RS.gif,https://static.hltv.org/images/team/logo/8481
BIG,Germany,#18,https://static.hltv.org/images/bigflags/30x20/DE.gif,https://static.hltv.org/images/team/logo/7532
FURIA,Brazil,#19,https://static.hltv.org/images/bigflags/30x20/BR.gif,https://static.hltv.org/images/team/logo/8297
AGO,Poland,#20,https://static.hltv.org/images/bigflags/30x20/PL.gif,https://static.hltv.org/images/team/logo/8068
